,prediction_mae,prediction_mae,prediction_r2,prediction_r2
features,basic,featured,basic,featured
exercise,,,,
bench_press,0.08640861570001894,0.09863094768711182,0.5601519113005596,0.45250167451291257
lunges,0.06658787197478204,0.07389651072029252,0.6120429205652229,0.5049825733790421
pull_ups,0.0917767283047694,0.08710610496028232,0.6118814538454223,0.6571203403344386
squat,0.08546836845829393,0.0924298711319674,0.7027212333936534,0.6241400242499457
