exercise,features,prediction_mae,prediction_r2,num_epochs_run,final_val_loss
bench_press,basic,0.08640861570001894,0.5601519113005596,100,0.010381629690527916
bench_press,featured,0.09863094768711182,0.45250167451291257,100,0.008706571534276009
lunges,basic,0.06658787197478204,0.6120429205652229,100,0.004535404499620199
lunges,featured,0.07389651072029252,0.5049825733790421,100,0.006500839255750179
pull_ups,basic,0.0917767283047694,0.6118814538454223,100,0.008508909493684769
pull_ups,featured,0.08710610496028232,0.6571203403344386,100,0.00750065129250288
squat,basic,0.08546836845829393,0.7027212333936534,100,0.007544009480625391
squat,featured,0.0924298711319674,0.6241400242499457,100,0.008762724697589874
